participant_id,session_timestamp,game,round_timestamp,latency_ms,has_qoe,has_kb,has_mouse,has_score_png,has_dump,has_score_txt,has_results,has_replay,has_replay_json,round_path,missing_qoe,missing_kb,missing_mouse,ff_missing_score_png,ff_missing_score_txt,hl2_missing_dump,hl2_missing_score_txt,fitts_missing_results,rl_missing_replay,rl_missing_replay_json,score_txt_without_png,replay_json_without_replay,hl2_score_without_dump
12,2026-01-28_17-17-45,feeding_frenzy,2026-01-28_17-46-42,75,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/feeding_frenzy/2026-01-28_17-46-42_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,feeding_frenzy,2026-01-28_17-45-52,0,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/feeding_frenzy/2026-01-28_17-45-52_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2026-01-28_17-17-45,feeding_frenzy,2026-01-28_17-45-02,225,True,True,True,True,,True,,,,../experiment/12/2026-01-28_17-17-45/feeding_frenzy/2026-01-28_17-45-02_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,dave_the_diver,2026-01-29_14-12-07,75,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/dave_the_diver/2026-01-29_14-12-07_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,dave_the_diver,2026-01-29_14-13-35,150,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/dave_the_diver/2026-01-29_14-13-35_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,dave_the_diver,2026-01-29_14-15-02,225,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/dave_the_diver/2026-01-29_14-15-02_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,dave_the_diver,2026-01-29_14-10-40,0,True,True,True,True,,True,,,,../experiment/13/2026-01-29_14-08-21/dave_the_diver/2026-01-29_14-10-40_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,half_life_2,2026-01-29_14-17-33,0,True,True,True,,True,True,,,,../experiment/13/2026-01-29_14-08-21/half_life_2/2026-01-29_14-17-33_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,half_life_2,2026-01-29_14-18-12,75,True,True,True,,True,True,,,,../experiment/13/2026-01-29_14-08-21/half_life_2/2026-01-29_14-18-12_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
13,2026-01-29_14-08-21,half_life_2,2026-01-29_14-18-56,150,True,True,True,,True,True,,,,../experiment/13/2026-01-29_14-08-21/half_life_2/2026-01-29_14-18-56_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
